__label__Support	The EU has some rules on how social security systems are coordinated (Regulation 883/2004/EC). EU rules ensure that the pension rights accrued in each country are added together and paid out by the pension insurance institution of the Member State of affiliation. But the bureaucratic nightmare is probably just as guaranteed. A better solution would be a transparent and digital platform that collects pension entitlements from all EU member states. That way, every citizen would have an overview of his or her pension entitlements at all times, not just until when they are due.	The EU should implement a common pension fund
__label__Support	I find it distressing and unreasonable to force an individual to leave behind their hard-earned pension pot. There should be a mechanism that stops this practice. Just as I can move myself, my family, furniture, car, and bank accounts freely within the EU, I should have the same right to move and merge my pensions into a single unit.	The EU should implement a common pension fund
__label__Support	activists judges aren't the ones shaping the laws. they're not "all" the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments	We should limit judicial activism
__label__Support	judicial activism relies too heavily upon personal opinion and leads to bias.	We should limit judicial activism
__label__Attack	judicial activism allows for common sense to be applied where necessary	We should limit judicial activism
__label__Support	a judge shouldnt be able to show their personal views.	We should limit judicial activism
__label__Support	judges should follow the letter of the law when making rulings and not make up things based on how they feel.	We should limit judicial activism
__label__Support	judicial activism is biased and should be trashed.	We should limit judicial activism
__label__Support	the rulings offer a precedent and will become final, despite it potentially overriding any laws.	We should limit judicial activism
__label__Support	judicial activism should be limited or altogether removed based on the fact that it is done from a feeling or thought rather than from the law	We should limit judicial activism
__label__Attack	judicial activism allows for a check on decrees made by one branch of the government that may think that drastic action is needed for every situation.	We should limit judicial activism
__label__Attack	judicial activism is sometimes the best way to get things done	We should limit judicial activism
__label__Attack	judicial activism is an important part of our country.	We should limit judicial activism
__label__Attack	judicial activism must be supported by all means because judges knows law and they acting inside the law by judicial activism.	We should limit judicial activism
__label__Attack	judicial activism can highlight wrong legislation, or deliver accurate justice that cannot be addressed through the existing laws	We should limit judicial activism
__label__Attack	all avenues should be looked at, not just the supposedly straight forward.	We should limit judicial activism
__label__Support	we should limit judicial activism as it goes outside the set laws and eventually could go to far to one person creating their own agendas.	We should limit judicial activism
__label__Support	judicial activism undermines the rule of law	We should limit judicial activism
__label__Attack	each case has different circumstances and certain things need to be taken into consideration for each one. judicial activism allow the court to consider the circumstances of each crime.	We should limit judicial activism
__label__Support	judges should be limited to upholding law rather than making it. that job is politicians.	We should limit judicial activism
__label__Attack	modern days require modern measures and judicial activism brings present day thinking and opinions into important cases to stay up to date	We should limit judicial activism
__label__Attack	judicial activism, bringing a personal touch of the judge, is the best way to apply laws and rules for our society.	We should limit judicial activism
__label__Support	judges who rule based on their own personal and political beliefs usurp the power of our elected officials and are violating our constitutional rights,	We should limit judicial activism
__label__Support	judicial activism should be limited so that judgements are reached based on factual evidence only. allowing personal opinions to cloud the issue can result in mis-trials of justice.	We should limit judicial activism
__label__Attack	it is important that the highly experienced, well trained people at the top of the judicial system can use their own experiences and common sense when passing judgments - else anyone could be a judge.	We should limit judicial activism
__label__Support	judicial activism should be limited because a judge should not be making all decisions.	We should limit judicial activism
__label__Support	judicial activism goes against our system of what is best for the people.	We should limit judicial activism
__label__Support	judicial activism would allow for personal grievances to be accepted as truth	We should limit judicial activism
__label__Attack	judicial activism allows lawful recourse in circumstances of possible justice miscarriages, and is an extra protection against possible corruption and obstructive 'influence' in the higher court.	We should limit judicial activism
__label__Support	it is not fair for opinion to overrule when there are so many different ones.	We should limit judicial activism
__label__Attack	judicial activism is necessary to protect the rights of Americans because they seek to weed out the injustices within the system.	We should limit judicial activism
__label__Attack	judicial activism is necessary to make sound decisions	We should limit judicial activism
__label__Attack	judges are in a position to make a positive change in the world, and should be encouraged to use activism to do so	We should limit judicial activism
__label__Attack	judicial activism is a control key put in place for counterbalance the overuse of power of law	We should limit judicial activism
__label__Attack	sometimes a case has extenuating circumstances that would require a judge to make a different ruling.	We should limit judicial activism
__label__Attack	judicial activism will bring forth new interpretations of the constitution and advance our society	We should limit judicial activism
__label__Support	we should limit judicial activism so that we do not depart from the constitution.	We should limit judicial activism
__label__Attack	judicial activism can be useful to prevent truly bad people who abuse the letter of the law to skirt punishment.	We should limit judicial activism
__label__Support	judicial activism should be limited to avoid violence among the opposition.	We should limit judicial activism
__label__Support	judicial activism violates the legislature's authority, endangering the coequal balance of the governmental branches.	We should limit judicial activism
__label__Attack	judicial activism can give proper justice to those when the law isn't completely clear	We should limit judicial activism
__label__Attack	judicial activism should not be limited as times have changed, circumstances are vastly different, than a reason why an initial law was enacted.	We should limit judicial activism
__label__Support	judges by definition are supposed to be impartial. having activist judges defeats the purpose	We should limit judicial activism
__label__Support	the judicial system requires independence, judicial activists undermine this independence and the practice should be limited.	We should limit judicial activism
__label__Support	judicial activism lets judges give the final verdict based on feelings so they will have the power to let things slide and give people less sentences than they deserve	We should limit judicial activism
__label__Attack	our laws need to evolve with the times we are living in	We should limit judicial activism
__label__Attack	some laws may not be the best, and opinions are needed.	We should limit judicial activism
__label__Support	we should limit judicial activism since that leads to civil unrest do to the nature of activists.	We should limit judicial activism
__label__Attack	it is helpful for the judiciary to take public action should they wish to do so as it demonstrates that they are human.	We should limit judicial activism
__label__Attack	every judge is trusted to give their own interpretation of the constitution; there is no way to prevent implicit biases from coming up in their decisions.	We should limit judicial activism
__label__Attack	there should be no limits. how are we to move forward in society if we limit the thought process of judges?	We should limit judicial activism
__label__Attack	many laws need to change with the times and a judge is in a better position than our elected officials to accurately and fairly review those laws.	We should limit judicial activism
__label__Support	we should limit it, laws should not be changed for special circumstances	We should limit judicial activism
__label__Support	judicial activism provides a limited view of procedure	We should limit judicial activism
__label__Support	Judicial activism should be limited as there should be enough statutes of law to allow for most situations and fixed punishments are more acceptable than an individuals response to a case.	We should limit judicial activism
__label__Attack	sometimes politics becomes so corrupt and untenable, that the only way to make change in the country is through judicial activism.	We should limit judicial activism
__label__Support	judicial activism is dangerous in that it allows for personal opinion to possibly get in the way of true justice. personal opinion clouding what is law should not be allowed.	We should limit judicial activism
__label__Support	judges are to base decisions on the laws of the country not on their personal beliefs. when a judge puts his bias to a case it can change laws and not support the rights of the individual.	We should limit judicial activism
__label__Support	judicial activism should be limited as judges should stick to their job and not try to grandstand on issues to gain popularity.	We should limit judicial activism
__label__Support	judicial activism should be limited as there are basic reasons why a law was put in place and a single judge should not be able to choose to ignore the basic law.	We should limit judicial activism
__label__Support	judicial activism allows judges to argue their own views instead of making decisions based on existing constitutional law.	We should limit judicial activism
__label__Support	judicial activism should be limited because law making is best done by the legislative and executive branches of government	We should limit judicial activism
__label__Support	judicial activism could lead to a decision being made based on the false beliefs of one person.	We should limit judicial activism
__label__Attack	judicial review is a crucial fallback to monitor political activity	We should limit judicial activism
__label__Attack	judges are going to use their beliefs to interpret laws and we shouldn't limit that once they are elected, we should understand their views before electing them.	We should limit judicial activism
__label__Support	we should not support judicial activism because laws are laws and should be strictly followed as written and if they are wrong, then the people need to vote to rewrite them.	We should limit judicial activism
__label__Support	judges should stick to the law and be unbiased in every ruling.	We should limit judicial activism
__label__Attack	judicial activism is the only way to maintain control	We should limit judicial activism
__label__Support	judicial activism should be limited because it doesn't apply any laws at all.	We should limit judicial activism
__label__Attack	judicial activism shouldn't be limited because it allows judges to rule in favor of the right thing regardless if the current laws are obstructing said behavior. this is essential for democracy.	We should limit judicial activism
__label__Support	judicial activism enables judges to override any law that exists, which means new rules will be created and the existent laws might not be followed.	We should limit judicial activism
__label__Attack	we should not limit judicial activism because it is an important check and balance on the legislative and executive arms of government.	We should limit judicial activism
__label__Support	sometimes the laws of the lands contradict a justified action.	We should limit judicial activism
__label__Attack	activist judges are an important part of bringing about legislative change	We should limit judicial activism
__label__Support	we should limit judicial activism because people making rulings on personal opinions instead of the law could set a bad president and other people may try to do the same crime if it is gotten away with	We should limit judicial activism
__label__Support	judges should not let their biases come into play when making judicial decisions; they should adhere to a strict interpretation of the constitution.	We should limit judicial activism
__label__Support	justice can not be subject to personal opinions	We should limit judicial activism
__label__Support	judicial activism may lead to "despotic behavior", therefore we should avoid it.	We should limit judicial activism
__label__Attack	judicial activism can be beneficial in some cases.	We should limit judicial activism
__label__Attack	we have to respect the view of judges so they need to have the freedom to express judicial activism.	We should limit judicial activism
__label__Attack	certain miscarriages of justice can only be rectified by judges practicing judicial activism	We should limit judicial activism
__label__Support	people should be judged by their actions not how the judge feels about them	We should limit judicial activism
__label__Support	judicial activism should be limited to the facts of the case rather than the prejudices of each judge otherwise there are different rules for different people which is not justice.	We should limit judicial activism
__label__Attack	judicial activism allows poorly or misconceived legislation to be reconsidered	We should limit judicial activism
__label__Support	judicial activism can skew the law and make it unfair so we should limit judicial activism.	We should limit judicial activism
__label__Attack	judicial activism is necessary to determine outcomes of cases that are not black and white.	We should limit judicial activism
